Name of Org,Type,Services Provided,Email,Phone,Address,Website,latitude,longitude
ACTS Food Assitance,Food,Monthly food pick-up on walk-in basis. New client enrollment Wednesdays 10am-1pm.,info@actspwc.org,(703) 441-8606,"3901 ACTS Ln, Dumfries, VA 22026",https://www.actspwc.org/services/food-assistance,38.5632239,-77.3291212
Creating Foundations for Hope,Food,Food distributed at East End Mobile Home Park,info@cfhva.org,"(703) 221-4510, ext 2001","8565 Sudley Rd, Manassas, VA 20110",https://cfhva.org/,38.7701015,-77.4906759
Haymarket Regional Food Pantry,Food,Weekly food pick-up (3-4 meals) for registered clients.,,  703) 754-5990,"7669 Limestone Drive, #105, Gainesville, VA",https://haymarketfoodpantry.org/,38.7906359,-77.5980314
Northern Virginia Family Service,Food,"Emergency food assistance, nutrition information, & budgeting.",,(571) 748-2680,"10058 Dean Drive, Manassas, VA 20110",https://www.nvfs.org/our-services/health-well-being/food-assistance/,38.7445797,-77.5007122
Serve Food Assistance,Food,"Tuesday and Thursday intakes, appointment and ID needed.",ncannon@nvfs.org,(571) 748-2680,"10056 Dean Dr, Manassas, VA 20110",https://www.nvfs.org/our-services/homelessness-housing/serve-campus/,38.7448018,-77.499861
All Saints Catholic Church,Food,Faith-Based,,(571) 516-3166,"9300 Stonewall Road, Manassas, VA 20110",https://allsaintsvachurch.org/living/social-outreach/,38.7535742,-77.4844351
Bull Run Unitarian Universalists,Food,Faith-Based,,(703) 361-6269,"9350 Main Street, Manassas, VA 20110",https://www.bruu.org/www2/settled-minister-search-welcome/governance/committees/food-pantry/,38.7516535,-77.4720346
Emmanuel Baptist Church,Food,Faith-Based,,(703) 368-9206,"8302 Spruce Street, Manassas, VA 20110",https://www.ebcnva.com/food-distribution/,38.7837812,-77.450925
Holy Family Catholic Church,Food,Faith-Based,,"(703) 730-1791, appointments only","14160 Ferndale Road, Woodbridge, VA 22193",https://www.holyfamilycatholicchurchdalecity.org/,38.6465076,-77.3210169
House of Mercy,Food,Faith-Based,,"(703) 659-1636, appointment only","8154 Flannery Court, Manassas, VA 20109",https://houseofmercyva.org/programs/food-pantry-client-services/,38.7817099,-77.5580657
Life of Church Manssas,Food,Faith-Based,, (703) 330-0881,"10501 Copeland Drive, Manassas, VA",https://welovechurch.com/outreach/food-pantry/,38.7897501,-77.5056128
Manassas Baptist Church,Food,Faith-Based,,(703) 361-2146,"8730 Sudley Road, Manassas, VA 20110",https://werchurch.com/missions/,38.7648185,-77.48278959999999
Manassas Church of Christ,Food,Faith-Based,,(703) 368-2622,"8110 Signal Hill Road, Manassas, VA",https://werchurch.com/missions/,38.7491985,-77.4465982
St. Francis Drop-In Center,Food,Faith-Based,,(703) 221-6344,"14730 Potomac Mills Road, Woodbridge, VA 22192",https://stfrncis.org/meals-for-the-homeless/,38.6290675,-77.2954424
St. Thomas UMC,Food,Faith-Based,,(703) 368-5161,"8899 Sudley Road, Manassas, VA 20110",https://www.stthomasumc.org/serve/serve-in-food-pantry.html,38.763801,-77.478337
St. Vincent De Paul,Food,Faith-Based,,(571) 377-8371,"13744 Mary’s Way, Woodbridge, VA 22191",https://www.olasvdp.org/,38.6644881,-77.2578266
Prince William County Animal Shelter,Food,Pet Food Assitance,,(703) 792-6465,"14807 Bristow Road, Manassas, VA 20112",https://pwspca.org/food/,38.6347959,-77.4306112
Street Light Community Outreach Ministries ,Food,Meal Programs,,,"14806 Blackburn Rd, Woodbridge, VA 22191",,38.6311106,-77.2683024
House of Mercy Thrift Store,Clothing,Clothes once a month for each registered family member. Once a year special occasion for teens.,,"(703) 659-1636, appointment only","8170 Flannery Court, Manassas, VA 20109",https://houseofmercyva.org/programs/food-pantry-client-services/,38.7816723,-77.55791169999999
St. Francis Drop-in Shelter,Clothing,"Food, showers, clothing, tents, and blankets distribution.",francias@stfrncis.org,(703) 221-6344,"14730 Potomac Mills Road, Woodbridge, VA 22192",https://stfrncis.org/meals-for-the-homeless/,38.6290675,-77.2954424
Greater Prince William Community Health Center,Medical and Healthcare,"Sick Visit, Wellness Visit, Chronic Disease Management, Prenatal, Immunization, Laboratory Services, Pharmacy Assistance, Crisis Intervention, Depression, Stress, Trauma, Substance Abuse, Grief, Routine Dental Exams, Dental X-Rays, Cleanings, Extractions, Restorative Fillings, Essential Dental Care ",,(703)- 680-7950,"4379 Ridgewood, Centre Dr., #102, Woodbridge, VA 22192",,38.6734984,-77.3405316
Greater Prince William Community Health Center,Medical and Healthcare,"Sick Visit, Wellness Visit, Chronic Disease Management, Prenatal, Immunization, Laboratory Services, Pharmacy Assistance, Crisis Intervention, Depression, Stress, Trauma, Substance Abuse, Grief, Routine Dental Exams, Dental X-Rays, Cleanings, Extractions, Restorative Fillings, Essential Dental Care ",,(703)- 680-7950,"9705 liberia Avenue, #201, Manassas, VA 20110",,38.7459868,-77.4486488
Greater Prince William Community Health Center,Medical and Healthcare,"Sick Visit, Wellness Visit, Chronic Disease Management, Prenatal, Immunization, Laboratory Services, Pharmacy Assistance, Crisis Intervention, Depression, Stress, Trauma, Substance Abuse, Grief, Routine Dental Exams, Dental X-Rays, Cleanings, Extractions, Restorative Fillings, Essential Dental Care ",,(703)- 680-7950,"17739 Main Street, #130, Dumfries, VA 22026",,38.5672394,-77.32618219999999
